Country,x,y
Albania,92,-214
Andorra,-146,-189
Austria,6,-113
Belarus,137,12
Belgium,-98,-55
Bosnia and Herzegovina,49,-159
Bulgaria,142,-175
Croatia,26,-151
Cyprus,289,-275
Czech Republic,10,-67
Denmark,-49,35
Estonia,99,99
Finland,75,149
France,-154,-121
Germany,-42,-49
Greece,118,-234
Hungary,61,-116
Iceland,-240,235
Ireland,-225,9
Italy,29,-222
Kosovo,107,-191
Latvia,99,66
Liechtenstein,-44,-119
Lithuania,98,41
Luxembourg,-82,-71
Maldova,174,-83
Malta,22,-307
Monaco,-78,-175
Montenegro,77,-184
Netherlands,-92,-29
North Macedonia,112,-205
Norway,-51,125
Poland,51,-19
Portugal,-291,-222
Romania,127,-125
Russia,215,135
San Marino,-10,-172
Serbia,93,-164
Slovakia,62,-84
Slovenia,13,-134
Spain,-245,-239
Sweden,0,166
Switzerland,-71,-126
Turkey,251,-215
Ukraine,202,-48
United Kingdom,-159,-3
Vatican City,-5,-206
